Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
North Yorkshire,3,60.00%,2,40.00%,329,81.40%,75,18.60%,14,93.30%,1,6.70%,29,93.50%,2,6.50%,2,100.00%,0,0.00%,239,91.60%,22,8.40%,19,90.50%,2,9.50%,73,81.10%,17,18.90%,101,93.50%,7,6.50%,133,89.30%,16,10.70%,15,71.40%,6,28.60%,358,91.10%,35,8.90%,25,100.00%,
Nottinghamshire,10,90.90%,1,9.10%,610,79.70%,155,20.30%,108,76.60%,33,23.40%,42,79.20%,11,20.80%,23,85.20%,4,14.80%,398,94.50%,23,5.50%,43,76.80%,13,23.20%,106,84.10%,20,15.90%,273,95.80%,12,4.20%,242,84.60%,44,15.40%,37,100.00%,0,0.00%,367,92.00%,32,8.00%,58,100.00%,
South Wales,3,75.00%,1,25.00%,998,77.80%,284,22.20%,83,69.20%,37,30.80%,92,91.10%,9,8.90%,18,64.30%,10,35.70%,638,94.50%,37,5.50%,120,95.20%,6,4.80%,164,86.30%,26,13.70%,439,93.40%,31,6.60%,327,79.00%,87,21.00%,65,81.30%,15,18.80%,607,80.80%,144,19.20%,30,100.00%,
South Yorkshire,6,85.70%,1,14.30%,588,76.10%,185,23.90%,23,76.70%,7,23.30%,106,89.10%,13,10.90%,42,75.00%,14,25.00%,439,94.40%,26,5.60%,40,95.20%,2,4.80%,162,90.00%,18,10.00%,245,90.70%,25,9.30%,221,88.00%,30,12.00%,24,72.70%,9,27.30%,421,89.60%,49,10.40%,63,100.00%,
Staffordshire,6,85.70%,1,14.30%,481,81.10%,112,18.90%,48,78.70%,13,21.30%,67,84.80%,12,15.20%,8,72.70%,3,27.30%,303,93.50%,21,6.50%,32,94.10%,2,5.90%,105,89.70%,12,10.30%,187,93.50%,13,6.50%,129,84.30%,24,15.70%,37,97.40%,1,2.60%,378,87.50%,54,12.50%,71,100.00%,
Suffolk,3,75.00%,1,25.00%,300,85.70%,50,14.30%,18,90.00%,2,10.00%,17,85.00%,3,15.00%,5,100.00%,0,0.00%,155,97.50%,4,2.50%,15,78.90%,4,21.10%,54,90.00%,6,10.00%,100,92.60%,8,7.40%,80,92.00%,7,8.00%,10,62.50%,6,37.50%,265,88.30%,35,11.70%,19,100.00%,
Surrey,1,100.00%,0,0.00%,349,76.00%,110,24.00%,33,73.30%,12,26.70%,25,78.10%,7,21.90%,5,83.30%,1,16.70%,106,91.40%,10,8.60%,26,81.30%,6,18.80%,39,86.70%,6,13.30%,122,94.60%,7,5.40%,66,80.50%,16,19.50%,19,100.00%,0,0.00%,355,91.70%,32,8.30%,37,100.00%,
Sussex,2,100.00%,0,0.00%,616,77.30%,181,22.70%,64,75.30%,21,24.70%,50,87.70%,7,12.30%,11,84.60%,2,15.40%,217,91.90%,19,8.10%,38,79.20%,10,20.80%,84,79.20%,22,20.80%,171,97.20%,5,2.80%,141,84.40%,26,15.60%,29,96.70%,1,3.30%,439,85.90%,72,14.10%,43,100.00%,
Thames Valley,8,100.00%,0,0.00%,763,80.60%,184,19.40%,91,77.80%,26,22.20%,89,85.60%,15,14.40%,22,66.70%,11,33.30%,495,94.30%,30,5.70%,58,77.30%,17,22.70%,116,92.80%,9,7.20%,331,93.80%,22,6.20%,226,82.80%,47,17.20%,54,87.10%,8,12.90%,742,91.50%,69,8.50%,70,100.00%,
Warwickshire,1,50.00%,1,50.00%,147,82.60%,31,17.40%,24,63.20%,14,36.80%,28,93.30%,2,6.70%,5,71.40%,2,28.60%,104,87.40%,15,12.60%,16,88.90%,2,11.10%,32,88.90%,4,11.10%,55,94.80%,3,5.20%,52,81.30%,12,18.80%,10,76.90%,3,23.10%,216,83.40%,43,16.60%,29,100.00%,
West Mercia,9,81.80%,2,18.20%,477,81.50%,108,18.50%,45,68.20%,21,31.80%,29,90.60%,3,9.40%,10,100.00%,0,0.00%,281,94.30%,17,5.70%,33,76.70%,10,23.30%,89,88.10%,12,11.90%,136,93.20%,10,6.80%,145,87.90%,20,12.10%,21,84.00%,4,16.00%,458,84.30%,85,15.70%,31,100.00%,
West Midlands,25,71.40%,10,28.60%,1798,80.30%,442,19.70%,159,74.30%,55,25.70%,188,83.60%,37,16.40%,98,77.80%,28,22.20%,1124,91.50%,104,8.50%,182,79.80%,46,20.20%,245,83.90%,47,16.10%,603,92.90%,46,7.10%,714,86.50%,111,13.50%,172,83.50%,34,16.50%,750,87.30%,109,12.70%,246,100.00%,
West Yorkshire,10,76.90%,3,23.10%,1311,76.50%,402,23.50%,183,73.20%,67,26.80%,146,89.00%,18,11.00%,61,77.20%,18,22.80%,643,92.50%,52,7.50%,88,88.00%,12,12.00%,258,87.50%,37,12.50%,360,92.80%,28,7.20%,326,84.70%,59,15.30%,98,88.30%,13,11.70%,1029,83.00%,211,17.00%,132,100.00%,
Wiltshire,0,-,0,-,322,86.10%,52,13.90%,22,66.70%,11,33.30%,36,90.00%,4,10.00%,4,100.00%,0,0.00%,220,98.20%,4,1.80%,35,97.20%,1,2.80%,56,87.50%,8,12.50%,83,95.40%,4,4.60%,74,90.20%,8,9.80%,13,86.70%,2,13.30%,194,91.10%,19,8.90%,22,100.00%,
National,291,85.30%,50,14.70%,"25,028",79.10%,"6,597",20.90%,"2,390",79.20%,629,20.80%,"2,767",86.80%,419,13.20%,960,82.10%,209,17.90%,"14,980",92.30%,"1,244",7.70%,"2,419",86.30%,383,13.70%,"4,316",85.40%,737,14.60%,"10,356",93.50%,716,6.50%,"8,730",85.70%,"1,458",14.30%,"1,983",88.00%,270,12.00%,"21,334",84.10%,"4,023",15.90%,"3,045",100.00%,
Avon and Somerset,3,75.00%,1,25.00%,766,80.70%,183,19.30%,101,84.20%,19,15.80%,66,94.30%,4,5.70%,21,80.80%,5,19.20%,407,94.90%,22,5.10%,57,86.40%,9,13.60%,141,87.60%,20,12.40%,274,91.90%,24,8.10%,245,84.80%,44,15.20%,20,76.90%,6,23.10%,558,89.70%,64,10.30%,119,100.00%,
Bedfordshire,3,75.00%,1,25.00%,170,76.60%,52,23.40%,6,85.70%,1,14.30%,34,91.90%,3,8.10%,8,80.00%,2,20.00%,119,92.20%,10,7.80%,13,92.90%,1,7.10%,31,88.60%,4,11.40%,100,90.90%,10,9.10%,58,95.10%,3,4.90%,24,100.00%,0,0.00%,199,77.40%,58,22.60%,46,100.00%,
Cambridgeshire,3,100.00%,0,0.00%,317,78.30%,88,21.70%,28,93.30%,2,6.70%,44,89.80%,5,10.20%,7,77.80%,2,22.20%,179,92.30%,15,7.70%,21,84.00%,4,16.00%,44,88.00%,6,12.00%,82,91.10%,8,8.90%,84,88.40%,11,11.60%,18,75.00%,6,25.00%,280,84.80%,50,15.20%,58,100.00%,
Cheshire,7,77.80%,2,22.20%,626,85.90%,103,14.10%,57,81.40%,13,18.60%,48,88.90%,6,11.10%,12,100.00%,0,0.00%,401,94.10%,25,5.90%,40,95.20%,2,4.80%,87,80.60%,21,19.40%,214,95.50%,10,4.50%,246,88.80%,31,11.20%,30,90.90%,3,9.10%,501,87.30%,73,12.70%,45,100.00%,
Cleveland,7,100.00%,0,0.00%,313,72.10%,121,27.90%,15,71.40%,6,28.60%,77,90.60%,8,9.40%,18,78.30%,5,21.70%,539,94.70%,30,5.30%,42,97.70%,1,2.30%,91,82.00%,20,18.00%,136,93.20%,10,6.80%,114,77.00%,34,23.00%,26,86.70%,4,13.30%,266,91.10%,26,8.90%,29,100.00%,
Cumbria,2,100.00%,0,0.00%,267,82.20%,58,17.80%,6,75.00%,2,25.00%,27,84.40%,5,15.60%,6,85.70%,1,14.30%,187,96.90%,6,3.10%,24,92.30%,2,7.70%,59,93.70%,4,6.30%,87,94.60%,5,5.40%,93,87.70%,13,12.30%,11,84.60%,2,15.40%,234,91.40%,22,8.60%,10,100.00%,
Derbyshire,2,100.00%,0,0.00%,509,84.70%,92,15.30%,22,100.00%,0,0.00%,37,90.20%,4,9.80%,16,94.10%,1,5.90%,328,94.00%,21,6.00%,41,83.70%,8,16.30%,82,83.70%,16,16.30%,173,90.10%,19,9.90%,160,88.40%,21,11.60%,35,87.50%,5,12.50%,395,85.70%,66,14.30%,42,100.00%,
Devon and Cornwall,4,80.00%,1,20.00%,502,83.70%,98,16.30%,15,75.00%,5,25.00%,51,86.40%,8,13.60%,17,94.40%,1,5.60%,261,95.30%,13,4.70%,41,93.20%,3,6.80%,93,93.90%,6,6.10%,184,94.80%,10,5.20%,163,89.10%,20,10.90%,25,89.30%,3,10.70%,561,87.50%,80,12.50%,37,100.00%,
Dorset,2,100.00%,0,0.00%,361,86.60%,56,13.40%,25,80.60%,6,19.40%,35,97.20%,1,2.80%,8,100.00%,0,0.00%,165,93.80%,11,6.30%,31,88.60%,4,11.40%,78,92.90%,6,7.10%,121,96.00%,5,4.00%,125,89.90%,14,10.10%,27,87.10%,4,12.90%,366,89.70%,42,10.30%,36,100.00%,
Durham,1,50.00%,1,50.00%,307,82.70%,64,17.30%,16,84.20%,3,15.80%,49,83.10%,10,16.90%,15,83.30%,3,16.70%,240,93.80%,16,6.30%,20,90.90%,2,9.10%,76,90.50%,8,9.50%,47,92.20%,4,7.80%,102,82.90%,21,17.10%,21,95.50%,1,4.50%,332,94.10%,21,5.90%,10,100.00%,
Dyfed Powys,3,100.00%,0,0.00%,220,85.30%,38,14.70%,17,89.50%,2,10.50%,15,88.20%,2,11.80%,2,100.00%,0,0.00%,113,91.10%,11,8.90%,7,87.50%,1,12.50%,43,91.50%,4,8.50%,138,95.80%,6,4.20%,53,93.00%,4,7.00%,8,88.90%,1,11.10%,227,88.70%,29,11.30%,14,100.00%,
Essex,10,100.00%,0,0.00%,736,81.20%,170,18.80%,75,73.50%,27,26.50%,92,84.40%,17,15.60%,31,93.90%,2,6.10%,362,93.50%,25,6.50%,48,87.30%,7,12.70%,116,82.30%,25,17.70%,227,93.40%,16,6.60%,135,89.40%,16,10.60%,41,89.10%,5,10.90%,694,78.80%,187,21.20%,91,100.00%,
Gloucestershire,2,100.00%,0,0.00%,187,78.60%,51,21.40%,8,61.50%,5,38.50%,20,100.00%,0,0.00%,4,100.00%,0,0.00%,130,96.30%,5,3.70%,18,90.00%,2,10.00%,38,80.90%,9,19.10%,70,95.90%,3,4.10%,42,77.80%,12,22.20%,8,88.90%,1,11.10%,177,93.20%,13,6.80%,32,100.00%,
GreaterManchester,15,88.20%,2,11.80%,1160,82.30%,250,17.70%,208,83.20%,42,16.80%,140,90.90%,14,9.10%,78,88.60%,10,11.40%,368,92.70%,29,7.30%,64,94.10%,4,5.90%,164,89.10%,20,10.90%,340,96.00%,14,4.00%,457,89.60%,53,10.40%,89,89.00%,11,11.00%,872,84.70%,157,15.30%,99,100.00%,
Gwent,0,-,0,-,304,83.10%,62,16.90%,18,78.30%,5,21.70%,15,88.20%,2,11.80%,2,100.00%,0,0.00%,132,92.30%,11,7.70%,11,91.70%,1,8.30%,46,75.40%,15,24.60%,80,96.40%,3,3.60%,104,93.70%,7,6.30%,15,88.20%,2,11.80%,206,87.30%,30,12.70%,10,100.00%,
Hampshire,11,91.70%,1,8.30%,847,80.10%,210,19.90%,91,88.30%,12,11.70%,67,79.80%,17,20.20%,12,92.30%,1,7.70%,442,94.40%,26,5.60%,156,79.60%,40,20.40%,120,86.30%,19,13.70%,235,94.40%,14,5.60%,139,83.70%,27,16.30%,50,87.70%,7,12.30%,646,87.40%,93,12.60%,80,100.00%,
Hertfordshire,2,66.70%,1,33.30%,328,79.00%,87,21.00%,8,61.50%,5,38.50%,44,88.00%,6,12.00%,13,72.20%,5,27.80%,395,92.70%,31,7.30%,54,83.10%,11,16.90%,52,80.00%,13,20.00%,185,91.60%,17,8.40%,107,86.30%,17,13.70%,28,71.80%,11,28.20%,300,78.50%,82,21.50%,67,100.00%,
Humberside,2,66.70%,1,33.30%,548,83.00%,112,17.00%,42,95.50%,2,4.50%,78,83.90%,15,16.10%,21,72.40%,8,27.60%,357,95.70%,16,4.30%,40,93.00%,3,7.00%,111,87.40%,16,12.60%,138,95.80%,6,4.20%,151,89.30%,18,10.70%,27,90.00%,3,10.00%,328,90.40%,35,9.60%,32,100.00%,
Kent,15,93.80%,1,6.30%,667,75.50%,217,24.50%,56,90.30%,6,9.70%,58,82.90%,12,17.10%,28,71.80%,11,28.20%,250,85.60%,42,14.40%,89,87.30%,13,12.70%,88,82.20%,19,17.80%,177,94.70%,10,5.30%,111,82.80%,23,17.20%,87,93.50%,6,6.50%,502,79.60%,129,20.40%,184,100.00%,
Lancashire,6,66.70%,3,33.30%,761,79.40%,198,20.60%,44,88.00%,6,12.00%,97,91.50%,9,8.50%,16,100.00%,0,0.00%,480,95.00%,25,5.00%,46,88.50%,6,11.50%,168,91.80%,15,8.20%,165,89.70%,19,10.30%,314,90.20%,34,9.80%,43,95.60%,2,4.40%,760,82.30%,163,17.70%,68,100.00%,
Leicestershire,4,100.00%,0,0.00%,500,84.50%,92,15.50%,66,62.30%,40,37.70%,52,91.20%,5,8.80%,16,84.20%,3,15.80%,229,90.20%,25,9.80%,52,92.90%,4,7.10%,71,88.80%,9,11.30%,101,96.20%,4,3.80%,117,88.00%,16,12.00%,22,95.70%,1,4.30%,342,84.70%,62,15.30%,46,100.00%,
Lincolnshire,2,66.70%,1,33.30%,310,83.80%,60,16.20%,17,89.50%,2,10.50%,30,85.70%,5,14.30%,8,100.00%,0,0.00%,211,90.60%,22,9.40%,30,90.90%,3,9.10%,39,78.00%,11,22.00%,123,92.50%,10,7.50%,149,94.30%,9,5.70%,18,78.30%,5,21.70%,427,82.30%,92,17.70%,29,100.00%,
Merseyside,6,100.00%,0,0.00%,882,84.20%,165,15.80%,65,85.50%,11,14.50%,65,83.30%,13,16.70%,22,78.60%,6,21.40%,473,94.80%,26,5.20%,180,84.50%,33,15.50%,133,86.40%,21,13.60%,649,95.60%,30,4.40%,354,84.50%,65,15.50%,67,93.10%,5,6.90%,730,83.70%,142,16.30%,67,100.00%,
Metropolitan and City,58,77.30%,17,22.70%,2989,69.00%,1343,31.00%,304,76.00%,96,24.00%,401,82.90%,83,17.10%,242,81.50%,55,18.50%,1565,84.80%,280,15.20%,406,80.70%,97,19.30%,473,78.80%,127,21.20%,2446,92.30%,204,7.70%,1192,76.50%,366,23.50%,485,89.60%,56,10.40%,2868,75.40%,934,24.60%,548,100.00%,
Norfolk,0,0.00%,1,100.00%,449,83.00%,92,17.00%,20,100.00%,0,0.00%,32,94.10%,2,5.90%,5,71.40%,2,28.60%,254,92.70%,20,7.30%,34,94.40%,2,5.60%,81,90.00%,9,10.00%,194,95.60%,9,4.40%,263,91.30%,25,8.70%,22,88.00%,3,12.00%,461,88.70%,59,11.30%,31,100.00%,
Northamptonshire,4,100.00%,0,0.00%,329,82.30%,71,17.80%,16,76.20%,5,23.80%,19,73.10%,7,26.90%,3,33.30%,6,66.70%,165,92.20%,14,7.80%,17,81.00%,4,19.00%,51,83.60%,10,16.40%,102,97.10%,3,2.90%,95,87.20%,14,12.80%,25,86.20%,4,13.80%,338,88.90%,42,11.10%,49,100.00%,
Northumbria,9,90.00%,1,10.00%,751,73.00%,278,27.00%,113,74.30%,39,25.70%,124,87.30%,18,12.70%,24,82.80%,5,17.20%,702,92.20%,59,7.80%,57,86.40%,9,13.60%,189,82.90%,39,17.10%,201,88.90%,25,11.10%,383,83.80%,74,16.20%,55,87.30%,8,12.70%,517,82.70%,108,17.30%,53,100.00%,
North Wales,3,100.00%,0,0.00%,417,85.50%,71,14.50%,46,73.00%,17,27.00%,42,95.50%,2,4.50%,5,45.50%,6,54.50%,236,96.30%,9,3.70%,22,88.00%,3,12.00%,84,93.30%,6,6.70%,118,95.20%,6,4.80%,161,94.70%,9,5.30%,27,87.10%,4,12.90%,416,87.80%,58,12.20%,28,100.00%,
North Yorkshire,4,100.00%,0,0.00%,305,79.00%,81,21.00%,14,87.50%,2,12.50%,27,90.00%,3,10.00%,6,100.00%,0,0.00%,264,94.60%,15,5.40%,36,94.70%,2,5.30%,94,89.50%,11,10.50%,104,87.40%,15,12.60%,171,86.80%,26,13.20%,34,79.10%,9,20.90%,358,91.10%,35,8.90%,32,100.00%,
Nottinghamshire,10,83.30%,2,16.70%,590,80.20%,146,19.80%,93,74.40%,32,25.60%,73,86.90%,11,13.10%,28,82.40%,6,17.60%,405,92.00%,35,8.00%,39,84.80%,7,15.20%,94,90.40%,10,9.60%,401,95.00%,21,5.00%,238,87.20%,35,12.80%,46,83.60%,9,16.40%,327,87.40%,47,12.60%,68,100.00%,
South Wales,8,72.70%,3,27.30%,876,77.20%,258,22.80%,83,80.60%,20,19.40%,74,85.10%,13,14.90%,13,76.50%,4,23.50%,596,93.70%,40,6.30%,162,89.00%,20,11.00%,145,84.80%,26,15.20%,399,95.00%,21,5.00%,319,87.40%,46,12.60%,41,87.20%,6,12.80%,723,85.70%,121,14.30%,51,100.00%,
South Yorkshire,9,90.00%,1,10.00%,620,79.20%,163,20.80%,27,87.10%,4,12.90%,81,89.00%,10,11.00%,28,100.00%,0,0.00%,351,91.90%,31,8.10%,16,72.70%,6,27.30%,164,80.40%,40,19.60%,220,94.80%,12,5.20%,199,89.60%,23,10.40%,36,94.70%,2,5.30%,365,86.70%,56,13.30%,54,100.00%,
Staffordshire,3,100.00%,0,0.00%,392,82.70%,82,17.30%,66,86.80%,10,13.20%,56,88.90%,7,11.10%,11,91.70%,1,8.30%,331,94.60%,19,5.40%,31,93.90%,2,6.10%,104,84.60%,19,15.40%,187,94.00%,12,6.00%,105,90.50%,11,9.50%,36,81.80%,8,18.20%,453,88.80%,57,11.20%,58,100.00%,
Suffolk,4,100.00%,0,0.00%,292,83.90%,56,16.10%,5,45.50%,6,54.50%,29,87.90%,4,12.10%,3,50.00%,3,50.00%,156,95.70%,7,4.30%,14,87.50%,2,12.50%,50,89.30%,6,10.70%,85,93.40%,6,6.60%,82,88.20%,11,11.80%,9,90.00%,1,10.00%,290,83.30%,58,16.70%,28,100.00%,
Surrey,1,50.00%,1,50.00%,299,77.70%,86,22.30%,34,73.90%,12,26.10%,30,85.70%,5,14.30%,6,85.70%,1,14.30%,101,93.50%,7,6.50%,35,83.30%,7,16.70%,35,87.50%,5,12.50%,112,91.10%,11,8.90%,54,83.10%,11,16.90%,21,91.30%,2,8.70%,343,92.00%,30,8.00%,65,100.00%,
Sussex,5,100.00%,0,0.00%,558,79.00%,148,21.00%,71,74.00%,25,26.00%,59,93.70%,4,6.30%,15,78.90%,4,21.10%,200,89.70%,23,10.30%,55,85.90%,9,14.10%,76,86.40%,12,13.60%,195,93.30%,14,6.70%,135,84.90%,24,15.10%,33,89.20%,4,10.80%,472,84.90%,84,15.10%,70,100.00%,
Thames Valley,15,83.30%,3,16.70%,678,80.10%,168,19.90%,92,71.90%,36,28.10%,78,87.60%,11,12.40%,21,61.80%,13,38.20%,416,93.70%,28,6.30%,62,91.20%,6,8.80%,101,85.60%,17,14.40%,279,94.30%,17,5.70%,247,85.80%,41,14.20%,61,95.30%,3,4.70%,682,89.00%,84,11.00%,94,100.00%,
Warwickshire,3,75.00%,1,25.00%,186,82.70%,39,17.30%,12,60.00%,8,40.00%,22,78.60%,6,21.40%,2,50.00%,2,50.00%,100,93.50%,7,6.50%,11,91.70%,1,8.30%,23,76.70%,7,23.30%,49,98.00%,1,2.00%,65,87.80%,9,12.20%,6,85.70%,1,14.30%,220,83.30%,44,16.70%,24,100.00%,
West Mercia,6,85.70%,1,14.30%,441,85.50%,75,14.50%,45,78.90%,12,21.10%,34,79.10%,9,20.90%,7,87.50%,1,12.50%,312,95.10%,16,4.90%,41,87.20%,6,12.80%,77,86.50%,12,13.50%,135,95.70%,6,4.30%,159,91.40%,15,8.60%,23,85.20%,4,14.80%,480,87.40%,69,12.60%,47,100.00%,
West Midlands,29,96.70%,1,3.30%,1721,80.50%,418,19.50%,170,84.60%,31,15.40%,178,85.20%,31,14.80%,92,81.40%,21,18.60%,1223,92.00%,107,8.00%,184,88.90%,23,11.10%,227,87.00%,34,13.00%,707,94.40%,42,5.60%,846,86.20%,135,13.80%,175,82.50%,37,17.50%,869,88.40%,114,11.60%,313,100.00%,
West Yorkshire,8,80.00%,2,20.00%,1253,78.00%,353,22.00%,150,76.90%,45,23.10%,151,88.80%,19,11.20%,59,81.90%,13,18.10%,617,92.40%,51,7.60%,53,85.50%,9,14.50%,220,87.30%,32,12.70%,309,91.20%,30,8.80%,325,83.50%,64,16.50%,84,85.70%,14,14.30%,1012,77.90%,287,22.10%,153,100.00%,
Wiltshire,0,-,0,-,294,87.50%,42,12.50%,23,76.70%,7,23.30%,16,84.20%,3,15.80%,9,100.00%,0,0.00%,218,94.40%,13,5.60%,19,82.60%,4,17.40%,57,87.70%,8,12.30%,67,94.40%,4,5.60%,68,91.90%,6,8.10%,24,96.00%,1,4.00%,237,92.20%,20,7.80%,28,100.00%,
National,312,83.9%,60,16.1%,"25,438",79.5%,"6,553",20.5%,"2,329",80.8%,555,19.2%,"2,833",88.1%,382,11.9%,946,80.1%,235,19.9%,"15,109",91.7%,"1,360",8.3%,"2,645",86.7%,407,13.3%,"4,495",85.4%,766,14.6%,"10,844",93.1%,807,6.9%,"8,559",85.0%,"1,505",15.0%,"1,949",86.1%,314,13.9%,"22,839",85.0%,"4,046",15.0%,"2,565",,100.0%
Avon and Somerset,11,78.6%,3,21.4%,708,79.8%,179,20.2%,97,80.8%,23,19.2%,41,77.4%,12,22.6%,17,89.5%,2,10.5%,353,91.2%,34,8.8%,67,81.7%,15,18.3%,143,87.2%,21,12.8%,268,91.2%,26,8.8%,213,81.3%,49,18.7%,19,79.2%,5,20.8%,622,89.4%,74,10.6%,105,,100.0%
Bedfordshire,4,100.0%,0,0.0%,178,80.9%,42,19.1%,13,92.9%,1,7.1%,38,84.4%,7,15.6%,11,84.6%,2,15.4%,121,92.4%,10,7.6%,8,61.5%,5,38.5%,39,86.7%,6,13.3%,78,95.1%,4,4.9%,43,82.7%,9,17.3%,13,100.0%,0,0.0%,236,86.1%,38,13.9%,33,,100.0%
Cambridgeshire,4,100.0%,0,0.0%,316,77.6%,91,22.4%,27,90.0%,3,10.0%,52,92.9%,4,7.1%,7,53.8%,6,46.2%,139,86.3%,22,13.7%,34,91.9%,3,8.1%,55,79.7%,14,20.3%,110,94.0%,7,6.0%,84,89.4%,10,10.6%,17,68.0%,8,32.0%,327,85.6%,55,14.4%,40,,100.0%
Cheshire,2,66.7%,1,33.3%,668,85.1%,117,14.9%,36,83.7%,7,16.3%,42,85.7%,7,14.3%,8,100.0%,0,0.0%,365,94.1%,23,5.9%,30,81.1%,7,18.9%,93,86.1%,15,13.9%,223,95.7%,10,4.3%,224,89.2%,27,10.8%,26,61.9%,16,38.1%,506,89.6%,59,10.4%,36,,100.0%
Cleveland,5,71.4%,2,28.6%,328,80.8%,78,19.2%,25,96.2%,1,3.8%,73,93.6%,5,6.4%,16,94.1%,1,5.9%,438,94.8%,24,5.2%,27,87.1%,4,12.9%,92,85.2%,16,14.8%,122,91.0%,12,9.0%,115,89.1%,14,10.9%,18,75.0%,6,25.0%,274,92.6%,22,7.4%,26,,100.0%
Cumbria,1,100.0%,0,0.0%,301,86.7%,46,13.3%,15,100.0%,0,0.0%,18,100.0%,0,0.0%,6,75.0%,2,25.0%,198,96.1%,8,3.9%,14,100.0%,0,0.0%,54,90.0%,6,10.0%,82,98.8%,1,1.2%,93,93.0%,7,7.0%,14,100.0%,0,0.0%,269,87.9%,37,12.1%,15,,100.0%
Derbyshire,4,100.0%,0,0.0%,454,82.4%,97,17.6%,37,90.2%,4,9.8%,35,83.3%,7,16.7%,3,75.0%,1,25.0%,328,92.7%,26,7.3%,49,92.5%,4,7.5%,120,90.2%,13,9.8%,174,93.0%,13,7.0%,163,89.6%,19,10.4%,20,69.0%,9,31.0%,425,90.2%,46,9.8%,30,,100.0%
Devon and Cornwall,3,75.0%,1,25.0%,534,86.4%,84,13.6%,34,97.1%,1,2.9%,44,86.3%,7,13.7%,15,75.0%,5,25.0%,238,94.4%,14,5.6%,46,95.8%,2,4.2%,114,91.9%,10,8.1%,180,95.2%,9,4.8%,187,91.7%,17,8.3%,20,87.0%,3,13.0%,625,89.4%,74,10.6%,19,,100.0%
Dorset,3,100.0%,0,0.0%,373,85.2%,65,14.8%,23,100.0%,0,0.0%,34,89.5%,4,10.5%,7,100.0%,0,0.0%,202,89.8%,23,10.2%,31,100.0%,0,0.0%,68,91.9%,6,8.1%,133,90.5%,14,9.5%,97,88.2%,13,11.8%,23,88.5%,3,11.5%,402,88.9%,50,11.1%,46,,100.0%
Durham,5,83.3%,1,16.7%,352,81.9%,78,18.1%,15,68.2%,7,31.8%,32,74.4%,11,25.6%,5,100.0%,0,0.0%,222,96.1%,9,3.9%,22,95.7%,1,4.3%,68,87.2%,10,12.8%,57,98.3%,1,1.7%,87,88.8%,11,11.2%,13,86.7%,2,13.3%,282,95.6%,13,4.4%,7,,100.0%
Dyfed Powys,1,100.0%,0,0.0%,266,84.4%,49,15.6%,23,88.5%,3,11.5%,28,96.6%,1,3.4%,2,100.0%,0,0.0%,128,94.8%,7,5.2%,12,92.3%,1,7.7%,47,88.7%,6,11.3%,142,97.9%,3,2.1%,72,90.0%,8,10.0%,8,80.0%,2,20.0%,215,90.7%,22,9.3%,4,,100.0%
Essex,18,78.3%,5,21.7%,761,78.9%,203,21.1%,77,80.2%,19,19.8%,71,87.7%,10,12.3%,34,81.0%,8,19.0%,408,94.0%,26,6.0%,53,88.3%,7,11.7%,109,90.8%,11,9.2%,242,94.2%,15,5.8%,153,92.2%,13,7.8%,34,77.3%,10,22.7%,792,79.3%,207,20.7%,57,,100.0%
Gloucestershire,3,100.0%,0,0.0%,228,82.6%,48,17.4%,12,92.3%,1,7.7%,33,100.0%,0,0.0%,6,85.7%,1,14.3%,134,96.4%,5,3.6%,25,100.0%,0,0.0%,33,86.8%,5,13.2%,73,94.8%,4,5.2%,59,85.5%,10,14.5%,5,62.5%,3,37.5%,201,95.7%,9,4.3%,11,,100.0%
